gene_id,gene_name,qualifier,go_id,reference,evidence_code,go_aspect,full_name,synonyms,object_type,date,source
S000001503,SPT23,enables,GO:0003674,GO_REF:0000015,ND,F,ER membrane protein involved in regulation of OLE1 transcription,YKL020C,protein,20181102,SGD
S000000735,GCN4,involved_in,GO:1990139,PMID:31211995,IMP,P,bZIP transcriptional activator of amino acid biosynthetic genes,YEL009C|AAS3|ARG9|AAS101|amino acid starvation-responsive transcription factor GCN4,protein,20200206,SGD
S000002318,STE7,involved_in,GO:0000187,PMID:8384702,IDA,P,Signal transducing MAP kinase kinase,YDL159W|mitogen-activated protein kinase kinase STE7,protein,20171213,SGD
S000002318,STE7,involved_in,GO:0000187,PMID:8384702,IMP,P,Signal transducing MAP kinase kinase,YDL159W|mitogen-activated protein kinase kinase STE7,protein,20171213,SGD
S000003664,PBS2,involved_in,GO:0000187,PMID:7624781,IGI,P,MAP kinase kinase of the HOG signaling pathway,YJL128C|HOG4|SFS4|SSK4|mitogen-activated protein kinase kinase PBS2,protein,20171214,SGD
S000003664,PBS2,involved_in,GO:0000187,PMID:7624781,IGI,P,MAP kinase kinase of the HOG signaling pathway,YJL128C|HOG4|SFS4|SSK4|mitogen-activated protein kinase kinase PBS2,protein,20171214,SGD
S000003026,RAD6,contributes_to,GO:0017116,PMID:9287349,IDA,F,Ubiquitin-conjugating enzyme (E2),YGL058W|PSO8|UBC2|E2 ubiquitin-conjugating protein RAD6,protein,20131012,SGD
S000001357,PRK1,involved_in,GO:0120133,PMID:9885245,IGI,P,Ser/Thr protein kinase,YIL095W|PAK1|serine/threonine protein kinase PRK1,protein,20181031,SGD
S000028746,FMP49,located_in,GO:0005739,PMID:14576278,HDA,C,Mitochondrial protein of unknown function,YER038W-A,protein,20040923,SGD
S000005730,DED1,enables,GO:0003724,PMID:10364207,IDA,F,ATP-dependent DEAD-box RNA helicase with strand-annealing activity,YOR204W|SPP81|DEAD-box ATP-dependent RNA helicase DED1,protein,20090529,SGD
S000005611,OST3,enables,GO:0015035,PMID:23416356,IDA,F,Gamma subunit of the oligosaccharyltransferase complex of the ER lumen,YOR085W|dolichyl-diphosphooligosaccharide--protein glycotransferase OST3,protein,20180713,SGD
S000005838,DGK1,involved_in,GO:2001210,PMID:32058036,IMP,P,Diacylglycerol kinase,YOR311C|HSD1|diacylglycerol kinase,protein,20200226,SGD
S000003234,SWC4,enables,GO:0005515,PMID:15302830,IPI,F,Component of the Swr1p complex that incorporates Htz1p into chromatin,YGR002C|EAF2|GOD1,protein,20181102,SGD
S000028746,FMP49,located_in,GO:0005739,PMID:16823961,HDA,C,Mitochondrial protein of unknown function,YER038W-A,protein,20061212,SGD
S000005730,DED1,enables,GO:0003724,PMID:10364207,IMP,F,ATP-dependent DEAD-box RNA helicase with strand-annealing activity,YOR204W|SPP81|DEAD-box ATP-dependent RNA helicase DED1,protein,20090529,SGD
S000004841,MTF1,involved_in,GO:0032786,PMID:31980825,IMP,P,Mitochondrial RNA polymerase specificity factor,YMR228W|RNA polymerase specificity factor,protein,20200205,SGD
S000028758,YER145C-A,enables,GO:0003674,GO_REF:0000015,ND,F,Putative protein of unknown function,YER145C-A,protein,20030730,SGD
S000028758,YER145C-A,involved_in,GO:0008150,GO_REF:0000015,ND,P,Putative protein of unknown function,YER145C-A,protein,20030730,SGD
S000028758,YER145C-A,is_active_in,GO:0005575,GO_REF:0000015,ND,C,Putative protein of unknown function,YER145C-A,protein,20030730,SGD
S000000152,PTC3,involved_in,GO:0000188,PMID:12477803,IGI,P,Type 2C protein phosphatase (PP2C),YBL056W|type 2C protein phosphatase PTC3,protein,20171216,SGD
S000000152,PTC3,located_in,GO:0005634,PMID:12477803,IDA,C,Type 2C protein phosphatase (PP2C),YBL056W|type 2C protein phosphatase PTC3,protein,20171216,SGD
