gene_id,gene_name,full_name,qualifier,go_id,evidence,go_aspect,synonyms,date,assigned_by
S000007253,MBF1,Transcriptional coactivator,involved_in,GO:0045944,IDA,P,YOR298C-A|SUF13|multiprotein-bridging factor 1,20021105,SGD
S000006169,GAL4,DNA-binding transcription factor required for activating GAL genes,involved_in,GO:0006355,IEA,P,YPL248C|GAL81|galactose-responsive transcription factor GAL4,20210410,InterPro
S000006169,GAL4,DNA-binding transcription factor required for activating GAL genes,involved_in,GO:0006355,IEA,P,YPL248C|GAL81|galactose-responsive transcription factor GAL4,20210410,InterPro
S000004000,TEN1,Protein that regulates telomeric length,involved_in,GO:0006357,IMP,P,YLR010C,20200207,SGD
S000000364,CDC28,Cyclin-dependent kinase (CDK) catalytic subunit,involved_in,GO:0045944,IMP,P,YBR160W|CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28,20121210,SGD
S000006227,EAF3,Component of the Rpd3S histone deacetylase complex,involved_in,GO:0006355,IEA,P,YPR023C,20210410,InterPro
S000002632,HTB1,Histone H2B,involved_in,GO:0000122,IMP,P,YDR224C|SPT12|histone H2B,20070604,SGD
S000005733,RET1,Second-largest subunit of RNA polymerase III,involved_in,GO:0006351,IEA,P,YOR207C|PDS2|RPC2|RPC128|C128|DNA-directed RNA polymerase III core subunit RET1,20210410,InterPro
S000005733,RET1,Second-largest subunit of RNA polymerase III,involved_in,GO:0006351,IEA,P,YOR207C|PDS2|RPC2|RPC128|C128|DNA-directed RNA polymerase III core subunit RET1,20210410,InterPro
S000005733,RET1,Second-largest subunit of RNA polymerase III,involved_in,GO:0006351,IEA,P,YOR207C|PDS2|RPC2|RPC128|C128|DNA-directed RNA polymerase III core subunit RET1,20210410,InterPro
S000005733,RET1,Second-largest subunit of RNA polymerase III,involved_in,GO:0006351,IEA,P,YOR207C|PDS2|RPC2|RPC128|C128|DNA-directed RNA polymerase III core subunit RET1,20210410,InterPro
S000005733,RET1,Second-largest subunit of RNA polymerase III,involved_in,GO:0006351,IEA,P,YOR207C|PDS2|RPC2|RPC128|C128|DNA-directed RNA polymerase III core subunit RET1,20210410,InterPro
S000005733,RET1,Second-largest subunit of RNA polymerase III,involved_in,GO:0006351,IEA,P,YOR207C|PDS2|RPC2|RPC128|C128|DNA-directed RNA polymerase III core subunit RET1,20210410,InterPro
S000005733,RET1,Second-largest subunit of RNA polymerase III,involved_in,GO:0006351,IEA,P,YOR207C|PDS2|RPC2|RPC128|C128|DNA-directed RNA polymerase III core subunit RET1,20210410,InterPro
S000005733,RET1,Second-largest subunit of RNA polymerase III,involved_in,GO:0006351,IEA,P,YOR207C|PDS2|RPC2|RPC128|C128|DNA-directed RNA polymerase III core subunit RET1,20210410,InterPro
S000005733,RET1,Second-largest subunit of RNA polymerase III,involved_in,GO:0006351,IEA,P,YOR207C|PDS2|RPC2|RPC128|C128|DNA-directed RNA polymerase III core subunit RET1,20210410,InterPro
S000005733,RET1,Second-largest subunit of RNA polymerase III,involved_in,GO:0006351,IEA,P,YOR207C|PDS2|RPC2|RPC128|C128|DNA-directed RNA polymerase III core subunit RET1,20210410,InterPro
S000005733,RET1,Second-largest subunit of RNA polymerase III,involved_in,GO:0006351,IEA,P,YOR207C|PDS2|RPC2|RPC128|C128|DNA-directed RNA polymerase III core subunit RET1,20210410,InterPro
S000000735,GCN4,bZIP transcriptional activator of amino acid biosynthetic genes,enables,GO:0003700,IDA,F,YEL009C|AAS3|ARG9|AAS101|amino acid starvation-responsive transcription factor GCN4,20111114,SGD
S000000735,GCN4,bZIP transcriptional activator of amino acid biosynthetic genes,enables,GO:0003700,IMP,F,YEL009C|AAS3|ARG9|AAS101|amino acid starvation-responsive transcription factor GCN4,20111114,SGD
S000000735,GCN4,bZIP transcriptional activator of amino acid biosynthetic genes,involved_in,GO:0000122,IMP,P,YEL009C|AAS3|ARG9|AAS101|amino acid starvation-responsive transcription factor GCN4,20100326,SGD
S000000735,GCN4,bZIP transcriptional activator of amino acid biosynthetic genes,involved_in,GO:0000122,IMP,P,YEL009C|AAS3|ARG9|AAS101|amino acid starvation-responsive transcription factor GCN4,20160426,SGD
S000001873,GAT1,Transcriptional activator of nitrogen catabolite repression genes,enables,GO:0003700,IEA,F,YFL021W|NIL1|MEP80,20210410,InterPro
S000001627,RPC25,RNA polymerase III subunit C25,involved_in,GO:0006351,IEA,P,YKL144C|YKL1|C25|DNA-directed RNA polymerase III subunit RPC25,20210410,InterPro
S000001627,RPC25,RNA polymerase III subunit C25,involved_in,GO:0006351,IEA,P,YKL144C|YKL1|C25|DNA-directed RNA polymerase III subunit RPC25,20210410,InterPro
S000002299,RPO21,RNA polymerase II largest subunit B220,involved_in,GO:0006366,IMP,P,YDL140C|RPB1|RPB220|SUA8|B220|DNA-directed RNA polymerase II core subunit RPO21|SIT1,20100119,SGD
S000004515,GAL80,Transcriptional regulator involved in the repression of GAL genes,involved_in,GO:0000122,IMP,P,YML051W|transcription regulator GAL80,20110622,SGD
S000005366,TOP1,Topoisomerase I,involved_in,GO:0006357,IMP,P,YOL006C|MAK1|MAK17|DNA topoisomerase 1,20010118,SGD
S000002633,HTA1,Histone H2A,involved_in,GO:0000122,IMP,P,YDR225W|H2A1|SPT11|histone H2A,20070604,SGD
S000003026,RAD6,Ubiquitin-conjugating enzyme (E2),involved_in,GO:0006366,IPI,P,YGL058W|PSO8|UBC2|E2 ubiquitin-conjugating protein RAD6,20091111,SGD
S000004646,MCM1,Transcription factor,involved_in,GO:0000122,IMP,P,YMR043W|FUN80|transcription factor MCM1,20200212,SGD
S000004646,MCM1,Transcription factor,involved_in,GO:0045944,IDA,P,YMR043W|FUN80|transcription factor MCM1,20200212,SGD
S000004646,MCM1,Transcription factor,involved_in,GO:0045944,IMP,P,YMR043W|FUN80|transcription factor MCM1,20200212,SGD
S000004646,MCM1,Transcription factor,involved_in,GO:0045944,IMP,P,YMR043W|FUN80|transcription factor MCM1,20200212,SGD
S000004646,MCM1,Transcription factor,involved_in,GO:0045944,IMP,P,YMR043W|FUN80|transcription factor MCM1,20200212,SGD
S000005111,SKO1,Basic leucine zipper transcription factor of the ATF/CREB family,enables,GO:0003700,IEA,F,YNL167C|ACR1,20210410,InterPro
S000000316,CYC8,General transcriptional co-repressor,involved_in,GO:0000122,IMP,P,YBR112C|[OCT1+]|[OCT]|CRT8|SSN6|transcription regulator CYC8,20200213,SGD
S000000680,TUP1,"General repressor of transcription, forms complex with Cyc8p",involved_in,GO:0000122,IMP,P,YCR084C|AAR1|AER2|AMM1|CRT4|CYC9|FLK1|ROX4|SFL2|UMR7|chromatin-silencing transcriptional regulator TUP1,20200213,SGD
S000002266,KIN28,"Ser/Thr protein kinase and subunit of TFIIK, a TFIIH subassembly",involved_in,GO:0006366,IDA,P,YDL108W|TFIIH complex serine/threonine-protein kinase subunit KIN28,20100519,SGD
