tf_name,n_target_genes,mean_retention,std_retention,pairwise_sharing_mean,pairwise_sharing_std,pi3_family_estimate
ABF1,3885,1.0,0.0,1.0,0.0,1.0
ACA1,4349,1.0,0.0,1.0,0.0,1.0
ACE2,5143,1.0,0.0,1.0,0.0,1.0
ADR1,5863,1.0,0.0,1.0,0.0,1.0
AFT1,4914,1.0,0.0,1.0,0.0,1.0
AFT2,2222,1.0,0.0,1.0,0.0,1.0
ARG80,5708,1.0,0.0,1.0,0.0,1.0
ARG81,4194,1.0,0.0,1.0,0.0,1.0
ARR1,6571,1.0,0.0,1.0,0.0,1.0
ASH1,4285,1.0,0.0,1.0,0.0,1.0
AZF1,6554,1.0,0.0,1.0,0.0,1.0
BAS1,2909,1.0,0.0,1.0,0.0,1.0
CAD1,5708,1.0,0.0,1.0,0.0,1.0
CAT8,4312,1.0,0.0,1.0,0.0,1.0
CBF1,1740,1.0,0.0,1.0,0.0,1.0
CHA4,3315,1.0,0.0,1.0,0.0,1.0
CIN5,5726,1.0,0.0,1.0,0.0,1.0
CRZ1,6165,1.0,0.0,1.0,0.0,1.0
CST6,4785,1.0,0.0,1.0,0.0,1.0
CUP2,6282,1.0,0.0,1.0,0.0,1.0
DAL80,6122,1.0,0.0,1.0,0.0,1.0
DAL81,2,0.2222,0.0,0.0494,0.0,0.2222
DAL82,5638,1.0,0.0,1.0,0.0,1.0
ECM22,5135,1.0,0.0,1.0,0.0,1.0
ERT1,3820,1.0,0.0,1.0,0.0,1.0
FKH1,5754,1.0,0.0,1.0,0.0,1.0
FKH2,2692,1.0,0.0,1.0,0.0,1.0
FZF1,6317,1.0,0.0,1.0,0.0,1.0
GAL4,3170,1.0,0.0,1.0,0.0,1.0
GAT1,6198,1.0,0.0,1.0,0.0,1.0
GCN4,4883,1.0,0.0,1.0,0.0,1.0
GCR1,5346,1.0,0.0,1.0,0.0,1.0
GCR2,6234,1.0,0.0,1.0,0.0,1.0
GIS1,5643,1.0,0.0,1.0,0.0,1.0
GLN3,6579,1.0,0.0,1.0,0.0,1.0
GSM1,3060,1.0,0.0,1.0,0.0,1.0
GZF3,6275,1.0,0.0,1.0,0.0,1.0
HAA1,2880,1.0,0.0,1.0,0.0,1.0
HAC1,2413,1.0,0.0,1.0,0.0,1.0
HAP1,2880,1.0,0.0,1.0,0.0,1.0
HAP2,6569,1.0,0.0,1.0,0.0,1.0
HAP3,4882,1.0,0.0,1.0,0.0,1.0
HAP4,4449,1.0,0.0,1.0,0.0,1.0
HAP5,4449,1.0,0.0,1.0,0.0,1.0
HCM1,6573,1.0,0.0,1.0,0.0,1.0
HSF1,6542,1.0,0.0,1.0,0.0,1.0
IME1,851,1.0,0.0,1.0,0.0,1.0
INO2,3935,1.0,0.0,1.0,0.0,1.0
INO4,4196,1.0,0.0,1.0,0.0,1.0
IXR1,450,1.0,0.0,1.0,0.0,1.0
LEU3,959,1.0,0.0,1.0,0.0,1.0
LYS14,5950,1.0,0.0,1.0,0.0,1.0
MAC1,3561,1.0,0.0,1.0,0.0,1.0
MBP1,5309,1.0,0.0,1.0,0.0,1.0
MCM1,5655,1.0,0.0,1.0,0.0,1.0
MET31,3787,1.0,0.0,1.0,0.0,1.0
MET32,5813,1.0,0.0,1.0,0.0,1.0
MIG1,4706,1.0,0.0,1.0,0.0,1.0
MIG2,4706,1.0,0.0,1.0,0.0,1.0
MIG3,5306,1.0,0.0,1.0,0.0,1.0
MOT2,6293,1.0,0.0,1.0,0.0,1.0
MOT3,6070,1.0,0.0,1.0,0.0,1.0
MSN2,4752,1.0,0.0,1.0,0.0,1.0
MSN4,4187,1.0,0.0,1.0,0.0,1.0
NDT80,6206,1.0,0.0,1.0,0.0,1.0
NRG1,3519,1.0,0.0,1.0,0.0,1.0
NRG2,3519,1.0,0.0,1.0,0.0,1.0
OAF1,5170,1.0,0.0,1.0,0.0,1.0
PDR1,3065,1.0,0.0,1.0,0.0,1.0
PDR3,62,1.0,0.0,1.0,0.0,1.0
PDR8,3962,1.0,0.0,1.0,0.0,1.0
PHO2,6577,1.0,0.0,1.0,0.0,1.0
PHO4,3234,1.0,0.0,1.0,0.0,1.0
PIP2,3784,1.0,0.0,1.0,0.0,1.0
PPR1,2697,1.0,0.0,1.0,0.0,1.0
PUT3,2595,1.0,0.0,1.0,0.0,1.0
RAP1,3884,1.0,0.0,1.0,0.0,1.0
RDS1,2715,1.0,0.0,1.0,0.0,1.0
RDS2,4244,1.0,0.0,1.0,0.0,1.0
REB1,3683,1.0,0.0,1.0,0.0,1.0
RFX1,5914,1.0,0.0,1.0,0.0,1.0
RGT1,6473,1.0,0.0,1.0,0.0,1.0
RIM101,2449,1.0,0.0,1.0,0.0,1.0
RLM1,1489,1.0,0.0,1.0,0.0,1.0
RME1,6558,1.0,0.0,1.0,0.0,1.0
ROF1,6211,1.0,0.0,1.0,0.0,1.0
ROX1,6211,1.0,0.0,1.0,0.0,1.0
RPH1,3252,1.0,0.0,1.0,0.0,1.0
