assembly_id,annotation_type,species_name,gff3_archive_path,pep_archive_path,cds_archive_path,genome_archive_path,is_reference
alloascoidea_hylecoeti,final,Alloascoidea hylecoeti,y1000p_gff3_files/alloascoidea_hylecoeti.final.gff3,y1000p_pep_files/alloascoidea_hylecoeti.final.pep,y1000p_cds_files/alloascoidea_hylecoeti.final.cds.tar.gz,y1000p_genome_files/alloascoidea_hylecoeti.fas.gz,False
arxula_adeninivorans,final,Arxula adeninivorans,y1000p_gff3_files/arxula_adeninivorans.final.gff3,y1000p_pep_files/arxula_adeninivorans.final.pep,y1000p_cds_files/arxula_adeninivorans.final.cds.tar.gz,y1000p_genome_files/arxula_adeninivorans.fas.gz,False
ashbya_aceri,final,Ashbya aceri,y1000p_gff3_files/ashbya_aceri.final.gff3,y1000p_pep_files/ashbya_aceri.final.pep,y1000p_cds_files/ashbya_aceri.final.cds.tar.gz,y1000p_genome_files/ashbya_aceri.fas.gz,False
brettanomyces_anomalus,final,Brettanomyces anomalus,y1000p_gff3_files/brettanomyces_anomalus.final.gff3,y1000p_pep_files/brettanomyces_anomalus.final.pep,y1000p_cds_files/brettanomyces_anomalus.final.cds.tar.gz,y1000p_genome_files/brettanomyces_anomalus.fas.gz,False
candida_albicans,cgd,Candida albicans,y1000p_gff3_files/candida_albicans.cgd.gff3,y1000p_pep_files/candida_albicans.cgd.pep,,y1000p_genome_files/candida_albicans.fas.gz,False
candida_albicans,final,Candida albicans,y1000p_gff3_files/candida_albicans.final.gff3,y1000p_pep_files/candida_albicans.final.pep,y1000p_cds_files/candida_albicans.final.cds.tar.gz,y1000p_genome_files/candida_albicans.fas.gz,False
candida_apicola,final,Candida apicola,y1000p_gff3_files/candida_apicola.final.gff3,y1000p_pep_files/candida_apicola.final.pep,y1000p_cds_files/candida_apicola.final.cds.tar.gz,y1000p_genome_files/candida_apicola.fas.gz,False
candida_auris,final,Candida auris,y1000p_gff3_files/candida_auris.final.gff3,y1000p_pep_files/candida_auris.final.pep,y1000p_cds_files/candida_auris.final.cds.tar.gz,y1000p_genome_files/candida_auris.fas.gz,False
candida_dubliniensis,final,Candida dubliniensis,y1000p_gff3_files/candida_dubliniensis.final.gff3,y1000p_pep_files/candida_dubliniensis.final.pep,y1000p_cds_files/candida_dubliniensis.final.cds.tar.gz,y1000p_genome_files/candida_dubliniensis.fas.gz,False
candida_infanticola,final,Candida infanticola,y1000p_gff3_files/candida_infanticola.final.gff3,y1000p_pep_files/candida_infanticola.final.pep,y1000p_cds_files/candida_infanticola.final.cds.tar.gz,y1000p_genome_files/candida_infanticola.fas.gz,False
candida_orthopsilosis,final,Candida orthopsilosis,y1000p_gff3_files/candida_orthopsilosis.final.gff3,y1000p_pep_files/candida_orthopsilosis.final.pep,y1000p_cds_files/candida_orthopsilosis.final.cds.tar.gz,y1000p_genome_files/candida_orthopsilosis.fas.gz,False
candida_parapsilosis,final,Candida parapsilosis,y1000p_gff3_files/candida_parapsilosis.final.gff3,y1000p_pep_files/candida_parapsilosis.final.pep,y1000p_cds_files/candida_parapsilosis.final.cds.tar.gz,y1000p_genome_files/candida_parapsilosis.fas.gz,False
candida_psychrophila,final,Candida psychrophila,y1000p_gff3_files/candida_psychrophila.final.gff3,y1000p_pep_files/candida_psychrophila.final.pep,y1000p_cds_files/candida_psychrophila.final.cds.tar.gz,y1000p_genome_files/candida_psychrophila.fas.gz,False
candida_sojae,final,Candida sojae,y1000p_gff3_files/candida_sojae.final.gff3,y1000p_pep_files/candida_sojae.final.pep,y1000p_cds_files/candida_sojae.final.cds.tar.gz,y1000p_genome_files/candida_sojae.fas.gz,False
candida_tropicalis,final,Candida tropicalis,y1000p_gff3_files/candida_tropicalis.final.gff3,y1000p_pep_files/candida_tropicalis.final.pep,y1000p_cds_files/candida_tropicalis.final.cds.tar.gz,y1000p_genome_files/candida_tropicalis.fas.gz,False
candida_versatilis,final,Candida versatilis,y1000p_gff3_files/candida_versatilis.final.gff3,y1000p_pep_files/candida_versatilis.final.pep,y1000p_cds_files/candida_versatilis.final.cds.tar.gz,y1000p_genome_files/candida_versatilis.fas.gz,False
clavispora_lusitaniae,final,Clavispora lusitaniae,y1000p_gff3_files/clavispora_lusitaniae.final.gff3,y1000p_pep_files/clavispora_lusitaniae.final.pep,y1000p_cds_files/clavispora_lusitaniae.final.cds.tar.gz,y1000p_genome_files/clavispora_lusitaniae.fas.gz,False
eremothecium_coryli,final,Eremothecium coryli,y1000p_gff3_files/eremothecium_coryli.final.gff3,y1000p_pep_files/eremothecium_coryli.final.pep,y1000p_cds_files/eremothecium_coryli.final.cds.tar.gz,y1000p_genome_files/eremothecium_coryli.fas.gz,False
eremothecium_cymbalariae,final,Eremothecium cymbalariae,y1000p_gff3_files/eremothecium_cymbalariae.final.gff3,y1000p_pep_files/eremothecium_cymbalariae.final.pep,y1000p_cds_files/eremothecium_cymbalariae.final.cds.tar.gz,y1000p_genome_files/eremothecium_cymbalariae.fas.gz,False
eremothecium_gossypii,final,Eremothecium gossypii,y1000p_gff3_files/eremothecium_gossypii.final.gff3,y1000p_pep_files/eremothecium_gossypii.final.pep,y1000p_cds_files/eremothecium_gossypii.final.cds.tar.gz,y1000p_genome_files/eremothecium_gossypii.fas.gz,False
eremothecium_sinecaudum,final,Eremothecium sinecaudum,y1000p_gff3_files/eremothecium_sinecaudum.final.gff3,y1000p_pep_files/eremothecium_sinecaudum.final.pep,y1000p_cds_files/eremothecium_sinecaudum.final.cds.tar.gz,y1000p_genome_files/eremothecium_sinecaudum.fas.gz,False
geotrichum_candidum,final,Geotrichum candidum,y1000p_gff3_files/geotrichum_candidum.final.gff3,y1000p_pep_files/geotrichum_candidum.final.pep,y1000p_cds_files/geotrichum_candidum.final.cds.tar.gz,y1000p_genome_files/geotrichum_candidum.fas.gz,False
hanseniaspora_gamundiae,final,Hanseniaspora gamundiae,y1000p_gff3_files/hanseniaspora_gamundiae.final.gff3,y1000p_pep_files/hanseniaspora_gamundiae.final.pep,y1000p_cds_files/hanseniaspora_gamundiae.final.cds.tar.gz,y1000p_genome_files/hanseniaspora_gamundiae.fas.gz,False
hanseniaspora_uvarum,final,Hanseniaspora uvarum,y1000p_gff3_files/hanseniaspora_uvarum.final.gff3,y1000p_pep_files/hanseniaspora_uvarum.final.pep,y1000p_cds_files/hanseniaspora_uvarum.final.cds.tar.gz,y1000p_genome_files/hanseniaspora_uvarum.fas.gz,False
hansenula_polymorpha,final,Hansenula polymorpha,y1000p_gff3_files/hansenula_polymorpha.final.gff3,y1000p_pep_files/hansenula_polymorpha.final.pep,y1000p_cds_files/hansenula_polymorpha.final.cds.tar.gz,y1000p_genome_files/hansenula_polymorpha.fas.gz,False
kazachstania_naganishii,final,Kazachstania naganishii,y1000p_gff3_files/kazachstania_naganishii.final.gff3,y1000p_pep_files/kazachstania_naganishii.final.pep,y1000p_cds_files/kazachstania_naganishii.final.cds.tar.gz,y1000p_genome_files/kazachstania_naganishii.fas.gz,False
kluyveromyces_aestuarii,final,Kluyveromyces aestuarii,y1000p_gff3_files/kluyveromyces_aestuarii.final.gff3,y1000p_pep_files/kluyveromyces_aestuarii.final.pep,y1000p_cds_files/kluyveromyces_aestuarii.final.cds.tar.gz,y1000p_genome_files/kluyveromyces_aestuarii.fas.gz,False
kluyveromyces_lactis,final,Kluyveromyces lactis,y1000p_gff3_files/kluyveromyces_lactis.final.gff3,y1000p_pep_files/kluyveromyces_lactis.final.pep,y1000p_cds_files/kluyveromyces_lactis.final.cds.tar.gz,y1000p_genome_files/kluyveromyces_lactis.fas.gz,False
kluyveromyces_marxianus,final,Kluyveromyces marxianus,y1000p_gff3_files/kluyveromyces_marxianus.final.gff3,y1000p_pep_files/kluyveromyces_marxianus.final.pep,y1000p_cds_files/kluyveromyces_marxianus.final.cds.tar.gz,y1000p_genome_files/kluyveromyces_marxianus.fas.gz,False
komagataella_pastoris,final,Komagataella pastoris,y1000p_gff3_files/komagataella_pastoris.final.gff3,y1000p_pep_files/komagataella_pastoris.final.pep,y1000p_cds_files/komagataella_pastoris.final.cds.tar.gz,y1000p_genome_files/komagataella_pastoris.fas.gz,False
