yeastract_tf_name,jaspar_matrix_id,jaspar_tf_name,match_type,motif_width,information_content_bits,pfm_A,pfm_C,pfm_G,pfm_T
ABF1,MA0265.3,ABF1,exact,14.0,14.0802,"[69.0, 5.0, 4.0, 5.0, 188.0, 87.0, 228.0, 155.0, 291.0, 126.0, 4.0, 1.0, 419.0, 3.0]","[72.0, 421.0, 0.0, 0.0, 66.0, 91.0, 38.0, 48.0, 48.0, 1.0, 41.0, 2.0, 3.0, 169.0]","[10.0, 1.0, 418.0, 3.0, 95.0, 65.0, 72.0, 64.0, 54.0, 297.0, 6.0, 420.0, 1.0, 15.0]","[276.0, 0.0, 5.0, 419.0, 78.0, 184.0, 89.0, 160.0, 34.0, 3.0, 376.0, 4.0, 4.0, 240.0]"
ACA1,MA2707.1,ACA1,exact,8.0,8.9008,"[1.0, 1.0, 20.0, 0.0, 0.0, 0.0, 0.0, 19.0]","[5.0, 2.0, 0.0, 20.0, 0.0, 0.0, 20.0, 0.0]","[0.0, 10.0, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0]","[14.0, 7.0, 0.0, 0.0, 0.0, 20.0, 0.0, 1.0]"
ACE2,MA0267.2,ACE2,exact,5.0,8.1993,"[1.0, 0.0, 90.0, 0.0, 0.0]","[92.0, 100.0, 10.0, 0.0, 100.0]","[6.0, 0.0, 0.0, 100.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]"
ADR1,MA0268.2,ADR1,exact,6.0,7.571,"[0.0, 0.0, 0.0, 0.0, 64.0, 34.0]","[100.0, 85.0, 100.0, 100.0, 6.0, 51.0]","[0.0, 0.0, 0.0, 0.0, 20.0, 6.0]","[0.0, 15.0, 0.0, 0.0, 10.0, 9.0]"
AFT1,MA0269.2,AFT1,exact,10.0,12.121,"[136.0, 716.0, 145.0, 34.0, 160.0, 10.0, 961.0, 8.0, 25.0, 19.0]","[78.0, 25.0, 31.0, 47.0, 10.0, 966.0, 9.0, 972.0, 955.0, 740.0]","[142.0, 31.0, 288.0, 39.0, 812.0, 11.0, 15.0, 9.0, 2.0, 13.0]","[641.0, 226.0, 535.0, 878.0, 16.0, 10.0, 14.0, 10.0, 16.0, 225.0]"
AFT2,MA0270.2,AFT2,exact,6.0,10.0167,"[70.0, 0.0, 100.0, 0.0, 0.0, 0.0]","[0.0, 100.0, 0.0, 100.0, 100.0, 100.0]","[30.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ARG80,MA0271.1,ARG80,exact,6.0,8.6234,"[89.0, 0.0, 161.0, 0.0, 44.0, 0.0]","[0.0, 0.0, 0.0, 301.0, 0.0, 256.0]","[0.0, 301.0, 0.0, 0.0, 79.0, 0.0]","[69.0, 0.0, 0.0, 0.0, 69.0, 20.0]"
ARG81,MA0272.2,ARG81,exact,7.0,10.8534,"[6.0, 20.0, 169.0, 0.0, 1.0, 0.0, 59.0]","[0.0, 0.0, 0.0, 271.0, 0.0, 279.0, 59.0]","[4.0, 239.0, 0.0, 0.0, 0.0, 0.0, 4.0]","[154.0, 0.0, 0.0, 1.0, 164.0, 0.0, 64.0]"
ARR1,MA0274.1,ARR1,exact,8.0,8.4411,"[160.0, 24.0, 30.0, 0.0, 73.0, 129.0, 137.0, 11.0]","[0.0, 75.0, 70.0, 0.0, 0.0, 41.0, 0.0, 0.0]","[0.0, 29.0, 0.0, 0.0, 161.0, 12.0, 29.0, 24.0]","[0.0, 73.0, 87.0, 161.0, 0.0, 0.0, 3.0, 129.0]"
ASH1,MA0276.1,ASH1,exact,10.0,10.2817,"[0.0, 0.0, 61.0, 58.0, 130.0, 0.0, 33.0, 80.0, 0.0, 0.0]","[220.0, 291.0, 21.0, 54.0, 0.0, 11.0, 150.0, 0.0, 8.0, 0.0]","[8.0, 0.0, 133.0, 101.0, 54.0, 8.0, 8.0, 92.0, 249.0, 256.0]","[35.0, 3.0, 10.0, 12.0, 0.0, 147.0, 35.0, 26.0, 19.0, 18.0]"
AZF1,MA0277.1,AZF1,exact,9.0,10.4916,"[63.0, 100.0, 100.0, 88.0, 75.0, 0.0, 78.0, 81.0, 63.0]","[13.0, 0.0, 0.0, 13.0, 0.0, 0.0, 16.0, 6.0, 13.0]","[13.0, 0.0, 0.0, 0.0, 25.0, 100.0, 3.0, 6.0, 13.0]","[13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 6.0, 13.0]"
BAS1,MA0278.2,BAS1,exact,12.0,13.9278,"[455.0, 248.0, 98.0, 52.0, 348.0, 12.0, 966.0, 26.0, 9.0, 47.0, 892.0, 487.0]","[51.0, 34.0, 724.0, 918.0, 346.0, 3.0, 5.0, 6.0, 10.0, 930.0, 42.0, 123.0]","[370.0, 670.0, 143.0, 7.0, 280.0, 977.0, 23.0, 962.0, 4.0, 7.0, 16.0, 320.0]","[122.0, 46.0, 33.0, 20.0, 24.0, 6.0, 4.0, 4.0, 975.0, 15.0, 49.0, 68.0]"
CAD1,MA0279.3,CAD1,exact,11.0,12.2262,"[12.0, 5.0, 26.0, 1.0, 1.0, 85.0, 6.0, 10.0, 82.0, 85.0, 5.0]","[14.0, 5.0, 58.0, 1.0, 0.0, 0.0, 64.0, 0.0, 3.0, 0.0, 1.0]","[11.0, 68.0, 3.0, 0.0, 18.0, 1.0, 11.0, 3.0, 0.0, 1.0, 14.0]","[50.0, 9.0, 0.0, 85.0, 68.0, 1.0, 6.0, 74.0, 2.0, 1.0, 67.0]"
CAT8,MA0280.2,CAT8,exact,5.0,7.8927,"[0.0, 0.0, 0.0, 0.0, 66.0]","[100.0, 100.0, 0.0, 0.0, 13.0]","[0.0, 0.0, 100.0, 100.0, 21.0]","[0.0, 0.0, 0.0, 0.0, 0.0]"
CBF1,MA0281.3,CBF1,exact,10.0,13.4969,"[137.0, 12.0, 1.0, 253.0, 1.0, 7.0, 0.0, 0.0, 215.0, 17.0]","[14.0, 20.0, 254.0, 0.0, 243.0, 0.0, 0.0, 1.0, 24.0, 146.0]","[73.0, 55.0, 1.0, 2.0, 2.0, 249.0, 0.0, 255.0, 11.0, 9.0]","[32.0, 169.0, 0.0, 1.0, 10.0, 0.0, 256.0, 0.0, 6.0, 84.0]"
CHA4,MA0283.1,CHA4,exact,8.0,10.174,"[22.0, 0.0, 0.0, 0.0, 0.0, 71.0, 22.0, 48.0]","[5.0, 0.0, 100.0, 0.0, 0.0, 0.0, 1.0, 10.0]","[68.0, 100.0, 0.0, 100.0, 100.0, 28.0, 76.0, 10.0]","[5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 31.0]"
CIN5,MA0284.3,CIN5,exact,10.0,13.0598,"[240.0, 3.0, 3.0, 334.0, 4.0, 223.0, 1.0, 321.0, 329.0, 25.0]","[46.0, 5.0, 2.0, 1.0, 273.0, 17.0, 1.0, 19.0, 3.0, 18.0]","[25.0, 5.0, 13.0, 3.0, 10.0, 88.0, 1.0, 3.0, 1.0, 58.0]","[34.0, 332.0, 327.0, 7.0, 58.0, 17.0, 342.0, 2.0, 12.0, 244.0]"
COM2,,,no_match,,,,,,
CRZ1,MA0285.2,CRZ1,exact,6.0,7.2389,"[63.0, 0.0, 0.0, 0.0, 42.0, 7.0]","[36.0, 0.0, 100.0, 99.0, 30.0, 76.0]","[1.0, 100.0, 0.0, 0.0, 7.0, 8.0]","[1.0, 0.0, 0.0, 0.0, 21.0, 8.0]"
CST6,MA0286.2,CST6,exact,6.0,9.9519,"[1.0, 1.0, 100.0, 0.0, 5.0, 0.0]","[1.0, 1.0, 0.0, 100.0, 0.0, 0.0]","[1.0, 91.0, 0.0, 0.0, 95.0, 0.0]","[96.0, 7.0, 0.0, 0.0, 0.0, 100.0]"
CUP2,MA0287.1,CUP2,exact,11.0,7.4411,"[0.0, 9.0, 0.0, 2.0, 6.0, 4.0, 9.0, 9.0, 7.0, 4.0, 2.0]","[7.0, 0.0, 0.0, 7.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 9.0, 0.0, 3.0, 4.0, 0.0, 0.0, 2.0, 0.0, 7.0]","[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0]"
