gene_name,gene_id,full_name,synonyms,tf_function_go,tf_process_go,n_function_terms,n_process_terms,evidence_codes,has_dna_binding,is_activator,is_repressor
ABF1,S000001595,DNA binding protein with possible chromatin-reorganizing activity,YKL112W|SBF1|GFI|BAF1|OBF1|REB2|DNA-binding protein ABF1|SBF-B|EBF2,GO:0001228|GO:0003677,GO:0000122|GO:0045944,11,15,HDA|IDA|IEA|IGI|IMP,True,True,True
ABF2,S000004676,Mitochondrial DNA-binding protein,YMR072W|p19|HM|mtTFA|DNA-binding protein ABF2,GO:0003677,,6,3,HDA|IBA|IDA|IEA|IMP,True,False,False
ACA1,S000000847,ATF/CREB family basic leucine zipper (bZIP) transcription factor,YER045C,GO:0000981|GO:0001228|GO:0003677|GO:0003700,GO:0006355|GO:0006357|GO:0045944,7,3,IBA|IC|IDA|IEA,True,True,False
ACE2,S000004121,Transcription factor required for septum destruction after cytokinesis,YLR131C|DNA-binding transcription factor ACE2,GO:0000981|GO:0003677,GO:0000122|GO:0006357|GO:0045944,7,7,HDA|IBA|IDA|IEA|IMP,True,True,True
ADA2,S000002856,Transcription coactivator,YDR448W|SWI8|chromatin-binding transcription regulator ADA2,,GO:0006357|GO:0045893,9,12,IBA|IDA|IEA|IMP,False,False,False
ADF1,S000028518,Transcriptional repressor encoded by the FYV5 antisense strand,YCL058W-A,,GO:0000122,1,2,IDA|IEA|IMP,False,False,True
ADR1,S000002624,Carbon source-responsive zinc-finger transcription factor,YDR216W|DNA-binding transcription factor ADR1,GO:0000981|GO:0001228|GO:0003677,GO:0006357|GO:0045944,18,13,HDA|IBA|IDA|IEA|IMP|IPI,True,True,False
AFT1,S000003039,Transcription factor involved in iron utilization and homeostasis,YGL071W|RCS1|DNA-binding transcription factor AFT1,GO:0000981,GO:0000122|GO:0045944,6,11,HDA|IDA|IEA|IMP,False,True,True
AFT2,S000006123,Iron-regulated transcriptional activator,YPL202C,GO:0000981|GO:0001228,GO:0045944,6,8,HDA|IC|IDA|IEA|IGI|IMP,False,True,False
APN1,S000001597,Major apurinic/apyrimidinic endonuclease,YKL114C|DNA-(apurinic or apyrimidinic site) lyase APN1,GO:0003677,,12,7,IBA|IDA|IEA|IMP,True,False,False
APN2,S000000115,Class II abasic (AP) endonuclease involved in repair of DNA damage,YBL019W|ETH1|DNA-(apurinic or apyrimidinic site) lyase APN2,GO:0003677,,13,11,IBA|IC|IDA|IEA|IGI,True,False,False
"ARG5,6",S000000871,Acetylglutamate kinase and N-acetyl-gamma-glutamyl-phosphate reductase,YER069W|argB|bifunctional acetylglutamate kinase/N-acetyl-gamma-glutamyl-phosphate reductase|argC,,GO:0006355,21,12,HDA|IBA|IDA|IEA|IMP|TAS,False,False,False
ARG80,S000004645,Transcription factor involved in regulating arginine-responsive genes,YMR042W|ARGRI|ARGR1,GO:0000981|GO:0003677,GO:0006357|GO:0045944,14,7,HDA|IBA|IC|IDA|IEA|IMP|ISA,True,True,False
ARG81,S000004565,Zinc finger transcription factor involved in arginine-responsive genes,YML099C|ARGRII|ARGR2,GO:0000981|GO:0003677,GO:0006355|GO:0006357,7,5,IDA|IEA|IMP,True,False,False
ARG82,S000002580,Inositol polyphosphate multikinase (IPMK),YDR173C|ARGRIII|ARGR3|IPK2|inositol polyphosphate multikinase,,GO:0000122|GO:0045944,23,14,IBA|IDA|IEA|IMP|IPI,False,True,True
ARO80,S000002829,Zinc finger transcriptional activator of the Zn2Cys6 family,YDR421W,GO:0000981|GO:0003677,GO:0006355|GO:0045944,10,11,HDA|IBA|IDA|IEA|IMP|ISS,True,True,False
ARP4,S000003617,Nuclear actin-related protein involved in chromatin remodeling,YJL081C|ACT3,,GO:0006355|GO:0006357,8,15,IBA|IDA|IEA|IMP|IPI,False,False,False
ARP5,S000005004,Nuclear actin-related protein involved in chromatin remodeling,YNL059C,,GO:0006355,1,5,IBA|IDA|IEA|IMP|IPI,False,False,False
ARP7,S000006238,Component of both the SWI/SNF and RSC chromatin remodeling complexes,YPR034W|RSC11|SWP61,,GO:0006357|GO:0045944,1,9,IBA|IDA|IEA|IMP,False,True,False
ARP8,S000005667,Nuclear actin-related protein involved in chromatin remodeling,YOR141C,,GO:0006355,3,8,IBA|IDA|IEA|IMP|IPI,False,False,False
ARP9,S000004636,Component of both the SWI/SNF and RSC chromatin remodeling complexes,YMR033W|RSC12|SWP59,,GO:0006357|GO:0045944,0,9,IBA|IDA|IEA|IMP,False,True,False
ARR1,S000006403,Transcriptional activator of the basic leucine zipper (bZIP) family,YPR199C|ACR1|YAP8,GO:0001228|GO:0003677,,5,10,HMP|IDA|IEA|IGI|IMP,True,True,False
ASG1,S000001392,Zinc cluster protein proposed to be a transcriptional regulator,YIL130W,GO:0000981|GO:0003677,GO:0006351|GO:0006355|GO:0045944,10,5,HDA|IBA|IEA|ND,True,True,False
ASH1,S000001668,Component of the Rpd3L histone deacetylase complex,YKL185W|DNA-binding transcription repressor ASH1,GO:0001227|GO:0003677,GO:0000122|GO:0006355,8,8,HDA|IDA|IEA|IMP,True,False,True
ASM4,S000002246,FG-nucleoporin component of central core of nuclear pore complex (NPC),YDL088C|NUP59|FG-nucleoporin ASM4,,GO:0006355,8,13,IBA|IDA|IEA|IGI|IMP|IPI,False,False,False
AZF1,S000005639,Zinc-finger transcription factor,YOR113W,GO:0001228|GO:0003677|GO:0003700,GO:0006357|GO:0045944,10,7,HDA|IBA|IDA|IEA|IMP,True,True,False
BAS1,S000001807,Myb-related transcription factor,YKR099W,GO:0000981|GO:0003677,GO:0006355|GO:0045944,7,6,IBA|IDA|IEA|IGI|IMP,True,True,False
BMH1,S000000979,"14-3-3 protein, major isoform",YER177W|APR6|14-3-3 family protein BMH1,,GO:0000122,3,12,HDA|IDA|IGI|IMP|IPI,False,False,True
BRE1,S000002232,E3 ubiquitin ligase,YDL074C|E3 ubiquitin-protein ligase BRE1,,GO:0006366,6,17,IDA|IEA|IGI|IMP|IPI,False,False,False
BRF1,S000003478,TFIIIB B-related factor,YGR246C|PCF4|TDS4|TFIIIB70|transcription factor TFIIIB subunit BRF1,GO:0003677,,16,11,IBA|IC|IDA|IEA|IMP|IPI,True,False,False
BUD14,S000000069,Protein involved in bud-site selection,YAR014C|protein phosphatase regulator BUD14,,GO:0006355,2,16,HDA|IBA|IDA|IEA|IGI|IMP,False,False,False
BUD32,S000003494,Protein kinase,YGR262C|LDB14|serine/threonine protein kinase BUD32,,GO:0045944,16,16,HDA|HMP|IBA|IDA|IEA|IGI|IMP|IPI,False,True,False
BUR2,S000004216,Cyclin for the Sgv1p (Bur1p) protein kinase,YLR226W|CST4,,GO:0006357,4,12,HDA|IBA|IDA|IEA|IMP|IPI,False,False,False
BUR6,S000000961,Subunit of a heterodimeric NC2 transcription regulator complex,YER159C|NCB1|negative cofactor 2 transcription regulator complex subunit BUR6,,GO:0000122|GO:0006355|GO:0006366|GO:0045944,13,12,IBA|IDA|IEA|IGI|IMP|IPI,False,True,True
BYE1,S000001488,Negative regulator of transcription elongation,YKL005C,,GO:0000122|GO:0006351,5,9,IBA|IC|IDA|IEA|IGI|IMP,False,False,True
CAD1,S000002831,AP-1-like basic leucine zipper (bZIP) transcriptional activator,YDR423C|YAP2,GO:0001228|GO:0003677|GO:0003700,GO:0006355|GO:0045944,4,4,IDA|IEA|IGI,True,True,False
CAF16,S000001866,Part of evolutionarily-conserved CCR4-NOT regulatory complex,YFL028C|putative ATP-binding cassette family ATPase CAF16,,GO:0006357,4,2,HDA|IBA|IDA|IEA|IMP|ISS,False,False,False
CAF4,S000001744,WD40 repeat-containing protein associated with the CCR4-NOT complex,YKR036C,,GO:0006357,1,11,HDA|IBA|IDA|IEA|IGI|IMP|IPI|ND,False,False,False
CAM1,S000005969,One of two isoforms of the gamma subunit of eEF1B,YPL048W|TEF3|CPBP|translation elongation factor EF1B gamma,GO:0003700,GO:0045944,8,12,HDA|IBA|IDA|IEA|IGI|IMP,False,True,False
CAT8,S000004893,Zinc cluster transcriptional activator,YMR280C|DIL1|MSP8|DNA-binding transcription factor CAT8,GO:0000981|GO:0001228|GO:0003677,GO:0006351|GO:0006355|GO:0045944,12,15,HDA|IC|IDA|IEA|IMP,True,True,False
CBF1,S000003821,Basic helix-loop-helix (bHLH) protein,YJR060W|CP1|CEP1|CPF1|GFII,GO:0001227|GO:0001228|GO:0003677|GO:0003700,GO:0000122|GO:0006357|GO:0045944,16,20,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,True,True
CBF2,S000003372,Essential kinetochore protein,YGR140W|CSL5|CBF3A|CEP2|CTF14|NDC10,GO:0003677,,3,3,HDA|IDA|IEA|IMP,True,False,False
CBF5,S000004165,Pseudouridine synthase catalytic subunit of box H/ACA snoRNPs,YLR175W|pseudouridine synthase CBF5,GO:0003677,,12,19,HDA|IBA|IC|IDA|IEA|IMP|IPI|ISA,True,False,False
