gene1,gene2,gene1_name,gene2_name,pct_identity,alignment_score,alignment_len,family_30pct,family_50pct,family_80pct,pi2_estimate
YAL051W,YBL005W,OAF1,PDR3,1.06,0.0106,976,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0106
YAL051W,YBL021C,OAF1,HAP3,0.26,0.0026,144,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0026
YAL051W,YBL103C,OAF1,RTG3,0.8,0.008,486,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.008
YAL051W,YBR049C,OAF1,REB1,0.44,0.0044,810,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0044
YAL051W,YBR066C,OAF1,NRG2,0.16,0.0016,220,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0016
YAL051W,YBR083W,OAF1,TEC1,0.8,0.008,486,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.008
YAL051W,YBR182C,OAF1,SMP1,0.75,0.0075,452,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0075
YAL051W,YBR239C,OAF1,ERT1,0.39,0.0039,529,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0039
YAL051W,YCL055W,OAF1,KAR4,0.07,0.0007,335,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0007
YAL051W,YCR065W,OAF1,HCM1,0.5,0.005,564,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.005
YAL051W,YCR106W,OAF1,RDS1,1.03,0.0103,832,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0103
YAL051W,YDL020C,OAF1,RPN4,0.65,0.0065,531,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0065
YAL051W,YDL056W,OAF1,MBP1,0.7,0.007,833,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.007
YAL051W,YDL106C,OAF1,PHO2,0.83,0.0083,559,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0083
YAL051W,YDL170W,OAF1,UGA3,0.71,0.0071,528,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0071
YAL051W,YDR034C,OAF1,LYS14,0.77,0.0077,790,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0077
YAL051W,YDR043C,OAF1,NRG1,0.32,0.0032,231,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0032
YAL051W,YDR096W,OAF1,GIS1,1.37,0.0137,894,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0137
YAL051W,YDR123C,OAF1,INO2,0.6,0.006,304,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.006
YAL051W,YDR146C,OAF1,SWI5,0.81,0.0081,709,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0081
YAL051W,YDR207C,OAF1,UME6,0.82,0.0082,836,YAL051W_cluster,YAL051W_cluster,YAL051W_cluster,0.0082
